Variable,Type,Non_Null,Missing_Pct,Unique,Sample_Values
ISO3,object,525,0.0%,108,"['AFG', 'AFG', 'AFG']"
Year,float64,525,0.0%,6,"[2020.0, 2021.0, 2022.0]"
INFORM_Mean,float64,507,3.4%,341,"[4.6, 4.65, 4.541666666666667]"
INFORM_Std,float64,499,5.0%,312,"[0.0, 0.0522232967867093, 0.0792961461098758]"
INFORM_Min,float64,507,3.4%,39,"[4.6, 4.6, 4.5]"
INFORM_Max,float64,507,3.4%,40,"[4.6, 4.7, 4.7]"
INFORM_Start,float64,507,3.4%,41,"[4.6, 4.6, 4.7]"
INFORM_End,float64,507,3.4%,40,"[4.6, 4.7, 4.5]"
Crisis_Count,int64,525,0.0%,4,"[1, 1, 1]"
Country,object,525,0.0%,109,"['Afghanistan', 'Afghanistan', 'Afghanistan']"
Region,object,525,0.0%,6,"['Asia', 'Asia', 'Asia']"
People_In_Need_Avg,float64,507,3.4%,278,"[5.0, 5.0, 5.0]"
Complexity_Avg,float64,525,0.0%,351,"[4.3, 4.6000000000000005, 4.458333333333333]"
Impact_Avg,float64,525,0.0%,314,"[5.0, 5.0, 4.733333333333333]"
INFORM_Change,float64,507,3.4%,58,"[0.0, 0.1000000000000005, -0.2000000000000001]"
INFORM_Range,float64,507,3.4%,43,"[0.0, 0.1000000000000005, 0.2000000000000001]"
CERF_Allocation,float64,525,0.0%,216,"[27999965.0, 92725862.0, 10000000.0]"
CERF_Project_Count,float64,525,0.0%,25,"[8.0, 16.0, 3.0]"
CERF_Emergency_Types,object,223,57.5%,94,"['Violence/Clashes', 'Drought, Post-conflict Needs"
CBPF_Budget,float64,525,0.0%,105,"[74274515.41, 165403048.41, 282670724.47]"
CBPF_Project_Count,float64,525,0.0%,75,"[127.0, 238.0, 300.0]"
CBPF_Total_Beneficiaries,float64,104,80.2%,104,"[5532901.0, 28460635.0, 24228115.0]"
HRP_Original_Requirements,float64,208,60.4%,194,"[732600000.0, 1887896620.0, 4442200000.0]"
HRP_Revised_Requirements,float64,525,0.0%,209,"[1131050820.0, 1474927646.0, 4442200000.0]"
HRP_Plan_Count,float64,525,0.0%,4,"[1.0, 2.0, 1.0]"
HRP_Avg_Duration_Months,float64,208,60.4%,16,"[12.0, 8.0, 12.0]"
Total_Funding,float64,525,0.0%,269,"[1233325300.41, 1733056556.41, 4734870724.47]"
Funding_Per_Severity,float64,507,3.4%,268,"[268114195.7413044, 372700334.711828, 1042540343.0"
GDP_Per_Capita,float64,525,0.0%,406,"[527.834554499306, 408.625855217403, 377.665627080"
WB_Population,float64,427,18.7%,427,"[39068979.0, 40000412.0, 40578842.0]"
Inflation_Rate,float64,525,0.0%,378,"[5.60188791482224, 5.13320340824963, 13.7121023720"
Total_Population,float64,55,89.5%,55,"[80823738.0, 74410748.0, 5926502.0]"
IDP_Population,float64,525,0.0%,1,"[0.0, 0.0, 0.0]"
Refugee_Population,float64,525,0.0%,1,"[0.0, 0.0, 0.0]"
Vulnerable_Pop_Pct,float64,525,0.0%,1,"[35.0, 35.0, 35.0]"
Number_Clusters,float64,525,0.0%,9,"[5.0, 5.0, 5.0]"
Total_In_Need,float64,525,0.0%,47,"[0.0, 0.0, 0.0]"
Total_Reached,float64,525,0.0%,41,"[0.0, 0.0, 0.0]"
Coverage_Rate,float64,525,0.0%,47,"[0.0, 0.0, 0.0]"
Dominant_Cluster,object,46,91.2%,3,"['ALL', 'ALL', 'ALL']"
Population,float64,431,17.9%,431,"[39068979.0, 80823738.0, 40578842.0]"
Need_Per_Capita,float64,525,0.0%,28,"[0.0, 0.0, 0.0]"
IDP_Rate,float64,525,0.0%,1,"[0.0, 0.0, 0.0]"
Economic_Stress,float64,525,0.0%,401,"[0.010592893121604047, 0.01253144385997133, 0.0362"
Funding_Per_Person_In_Need,float64,525,0.0%,47,"[0.0, 0.0, 0.0]"
Severity_Funding_Ratio,float64,525,0.0%,231,"[6.862585166131534, 4.611273172144401, 25.69172237"
Crisis_Type,object,525,0.0%,6,"['Conflict', 'Conflict', 'Earthquake']"
UN_Region,object,525,0.0%,6,"['Asia', 'Asia', 'Asia']"
